agent,probe_id,condition,on_target,label,dim_raw,dim_z,logistic_raw,logistic_z
Frank,rel-ctrl-0,mentioned,False,1,77.32476,1.281676594651495,0.8618668,0.18943932627452095
Frank,rel-ctrl-0,neutral,False,1,84.67466,1.3990351696494143,3.2899942,0.7316575546624836
Frank,rel-ctrl-0,repeat,False,1,84.67466,1.3990351696494143,3.2899942,0.7316575546624836
Frank,rel-ctrl-0,seeded,False,1,78.888115,1.3066393660147806,1.7738012,0.3930807878897407
Frank,rel-ctrl-1,mentioned,False,0,-53.956253,-0.8145350451262323,-3.0345547,-0.6806594843512425
Frank,rel-ctrl-1,neutral,False,0,-67.47822,-1.0304450853209102,-2.7278426,-0.6121684664010589
Frank,rel-ctrl-1,repeat,False,0,-67.47822,-1.0304450853209102,-2.7278426,-0.6121684664010589
Frank,rel-ctrl-1,seeded,False,0,-56.30953,-0.8521106473713237,-3.3018181,-0.7403413700430305
Frank,rel-ctrl-2,mentioned,False,1,66.462906,1.1082414750302239,3.220719,0.7161878934007945
Frank,rel-ctrl-2,neutral,False,1,76.69837,1.2716748209501267,5.133722,1.143375065051211
Frank,rel-ctrl-2,repeat,False,1,76.69837,1.2716748209501267,5.133722,1.143375065051211
Frank,rel-ctrl-2,seeded,False,1,66.95057,1.11602823265007,4.68338,1.0428105672339298
Frank,rel-ctrl-3,mentioned,False,0,-58.512024,-0.8872786644893343,-1.6341377,-0.3679363539896951
Frank,rel-ctrl-3,neutral,False,0,-67.0893,-1.0242351523624253,-2.6194239,-0.5879577941963735
Frank,rel-ctrl-3,repeat,False,0,-67.0893,-1.0242351523624253,-2.6194239,-0.5879577941963735
Frank,rel-ctrl-3,seeded,False,0,-62.98738,-0.9587383176351824,-1.8505427,-0.4162611199964605
Frank,rel-on-0,mentioned,True,0,-56.350636,-0.8527669901675958,-2.0291173,-0.4561381108358364
Frank,rel-on-0,neutral,True,0,-63.429794,-0.9658024616627517,-1.4627856,-0.32967219319151747
Frank,rel-on-0,repeat,True,0,-63.429794,-0.9658024616627517,-1.4627856,-0.32967219319151747
Frank,rel-on-0,seeded,True,0,-51.607876,-0.7770376217108023,-1.455578,-0.32806267737609757
Frank,rel-on-1,mentioned,True,1,75.35897,1.250288175234091,6.2643037,1.3958421367425242
Frank,rel-on-1,neutral,True,1,77.7121,1.2878614019635168,6.6527667,1.482588708889317
Frank,rel-on-1,repeat,True,1,77.7121,1.2878614019635168,6.6527667,1.482588708889317
Frank,rel-on-1,seeded,True,1,68.8379,1.1461637807411758,6.569529,1.4640012529496849
Frank,rel-on-2,mentioned,True,1,71.09031,1.1821289051863098,5.24231,1.1676235913045472
Frank,rel-on-2,neutral,True,1,74.83151,1.2418660585396855,5.7236214,1.2751039066810719
Frank,rel-on-2,repeat,True,1,74.83151,1.2418660585396855,5.7236214,1.2751039066810719
Frank,rel-on-2,seeded,True,1,67.0481,1.1175855963561707,5.8817477,1.310414599835288
Frank,rel-on-3,mentioned,True,0,-66.78339,-1.01935051350271,-1.844204,-0.41484562614559156
Frank,rel-on-3,neutral,True,0,-74.13749,-1.136776151135189,-0.29379356,-0.06862790768109321
Frank,rel-on-3,repeat,True,0,-74.13749,-1.136776151135189,-0.29379356,-0.06862790768109321
Frank,rel-on-3,seeded,True,0,-62.931873,-0.9578520066492829,-1.6020411,-0.3607689480944462
Maria,rel-ctrl-0,mentioned,False,1,73.492134,1.2204797782875982,1.32911,0.29377807838401065
Maria,rel-ctrl-0,neutral,False,1,80.987785,1.3401654449779297,2.5454304,0.5653911395745679
Maria,rel-ctrl-0,repeat,False,1,80.987785,1.3401654449779297,2.5454304,0.5653911395745679
Maria,rel-ctrl-0,seeded,False,1,72.195114,1.1997697281616506,2.1564286,0.47852424372882885
Maria,rel-ctrl-1,mentioned,False,0,-66.42733,-1.0136652954083605,-4.2585244,-0.953980702832097
Maria,rel-ctrl-1,neutral,False,0,-77.65277,-1.1929059316737134,-4.240355,-0.9499232652503022
Maria,rel-ctrl-1,repeat,False,0,-77.65277,-1.1929059316737134,-4.240355,-0.9499232652503022
Maria,rel-ctrl-1,seeded,False,0,-66.72761,-1.0184599387707445,-4.9404216,-1.1062532454601024
Maria,rel-ctrl-2,mentioned,False,1,60.665134,1.0156663504181667,3.7102823,0.8255108650695916
Maria,rel-ctrl-2,neutral,False,1,67.47254,1.1243626379968228,5.1745462,1.1524915019070925
Maria,rel-ctrl-2,repeat,False,1,67.47254,1.1243626379968228,5.1745462,1.1524915019070925
Maria,rel-ctrl-2,seeded,False,1,60.852432,1.0186570028198345,4.8625503,1.082820592959475
Maria,rel-ctrl-3,mentioned,False,0,-55.250416,-0.8351994427139399,-1.5456654,-0.34817984150959164
Maria,rel-ctrl-3,neutral,False,0,-64.19876,-0.9780808625763026,-3.0160015,-0.6765164093049542
Maria,rel-ctrl-3,repeat,False,0,-64.19876,-0.9780808625763026,-3.0160015,-0.6765164093049542
Maria,rel-ctrl-3,seeded,False,0,-61.645824,-0.9373171964866666,-1.6061147,-0.36167861655471095
Maria,rel-on-0,mentioned,True,0,-63.373333,-0.9649008925570004,-3.0819843,-0.6912507916089886
Maria,rel-on-0,neutral,True,0,-78.149666,-1.2008400930861427,-2.1830425,-0.49051070506286837
Maria,rel-on-0,repeat,True,0,-78.149666,-1.2008400930861427,-2.1830425,-0.49051070506286837
Maria,rel-on-0,seeded,True,0,-59.12785,-0.8971117765784453,-2.908454,-0.6525002781604236
Maria,rel-on-1,mentioned,True,1,73.29236,1.2172898262126528,6.0454545,1.3469716548445199
Maria,rel-on-1,neutral,True,1,80.541016,1.3330317714341475,6.572001,1.4645532512287456
Maria,rel-on-1,repeat,True,1,80.541016,1.3330317714341475,6.572001,1.4645532512287456
Maria,rel-on-1,seeded,True,1,67.59145,1.1262614059415303,5.9296203,1.321104828080929
Maria,rel-on-2,mentioned,True,1,69.54072,1.157386021298737,4.256689,0.9475274279511999
Maria,rel-on-2,neutral,True,1,89.08756,1.469497593500977,4.8349485,1.076656931620083
Maria,rel-on-2,repeat,True,1,89.08756,1.469497593500977,4.8349485,1.076656931620083
Maria,rel-on-2,seeded,True,1,68.26881,1.137076885124352,5.1799216,1.1536919171460946
Maria,rel-on-3,mentioned,True,0,-68.90725,-1.0532630096807958,-3.0370839,-0.6812242869885314
Maria,rel-on-3,neutral,True,0,-83.76008,-1.2904234689046863,-1.0377419,-0.2347568930397704
Maria,rel-on-3,repeat,True,0,-83.76008,-1.2904234689046863,-1.0377419,-0.2347568930397704
Maria,rel-on-3,seeded,True,0,-63.780415,-0.9714010343459655,-2.9262493,-0.6564741014195657
Ruth,rel-ctrl-0,mentioned,False,1,71.229355,1.1843490986737697,0.5871972,0.12810362944100087
Ruth,rel-ctrl-0,neutral,False,1,73.23713,1.2164080226154523,2.3710244,0.5264450069442093
Ruth,rel-ctrl-0,repeat,False,1,73.23713,1.2164080226154523,2.3710244,0.5264450069442093
Ruth,rel-ctrl-0,seeded,False,1,70.830986,1.1779881377385453,1.6769093,0.3714441377527376
Ruth,rel-ctrl-1,mentioned,False,0,-52.36052,-0.7890553554630474,-5.8633256,-1.3123443691429846
Ruth,rel-ctrl-1,neutral,False,0,-59.846985,-0.9085944711100087,-5.6303005,-1.2603081494294701
Ruth,rel-ctrl-1,repeat,False,0,-59.846985,-0.9085944711100087,-5.6303005,-1.2603081494294701
Ruth,rel-ctrl-1,seeded,False,0,-55.812016,-0.8441666793429414,-5.5638337,-1.245465688758683
Ruth,rel-ctrl-2,mentioned,False,1,59.046604,0.9898226891175518,1.8817405,0.4171843932985939
Ruth,rel-ctrl-2,neutral,False,1,62.82308,1.050123022415648,4.2702184,0.9505486442265374
Ruth,rel-ctrl-2,repeat,False,1,62.82308,1.050123022415648,4.2702184,0.9505486442265374
Ruth,rel-ctrl-2,seeded,False,1,58.671833,0.9838386433346019,3.28959,0.7315672320274116
